index,Title,Series,Num,Author,Status,Returned,Source,Url
0,new title,new series,01,AAA,None,2024-08-09,Library,new url
1,Columbus Day,Expeditionary Force,01,Alanson Craig,Read,2016-10-01,Amazon Unlimited,https://smile.amazon.com/gp/product/B01AIGC31E?notRedirectToSDP=1&ref_=dbs_mng_calw_0&storeType=ebooks
2,SpecOps,Expeditionary Force,02,Alanson Craig,Read,2016-10-01,Amazon Unlimited,""
3,Paradise,Expeditionary Force,03,Alanson Craig,Read,2016-11-07,Amazon Unlimited,""
4,Black Ops,Expeditionary Force,04,Alanson Craig,Won't Finish,2021-04-12,Amazon Unlimited,""
5,Duel in the Dark,Blood on the Stars,01,Allan Jay,Read,2018-01-11,Amazon Unlimited,https://smile.amazon.com/gp/product/B01MCZZTPS?notRedirectToSDP=1&ref_=dbs_mng_calw_0&storeType=ebooks
6,Call to Arms,Blood on the Stars,02,Allan Jay,Read,2018-03-04,Amazon Unlimited,""
7,Ruins of Empire,Blood on the Stars,03,Allan Jay,Read,2018-03-04,Amazon Unlimited,""
8,Echoes of Glory,Blood on the Stars,04,Allan Jay,Read,2018-03-04,Amazon Unlimited,""
9,Cauldron of Fire,Blood on the Stars,05,Allan Jay,Read,2018-03-04,Amazon Unlimited,""
10,Nightfall,Blood on the Stars,10,Allan Jay,Read,2019-06-05,Amazon Unlimited,""
11,Attack Plan Alpha,Blood on the Stars,16,Allan Jay,Read,2021-04-17,Amazon Unlimited,""
12,Empire Reborn,Blood on the Stars,18,Allan Jay,Final,2022-04-03,"",""
13,Marines,Crimson Worlds,01,Allan Jay,Read,2018-09-15,Amazon Unlimited,https://smile.amazon.com/Marines-Crimson-Worlds-Jay-Allan-ebook/dp/B00902U0C2/ref=sr_1_1_sspa?dchild=1&keywords=Crimson+Worlds&qid=1628349305&s=digital-text&sr=1-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFKUUtYTjE5OElVOFImZW5jcnlwdGVkSWQ9QTAxNDcyNjIzR0hCWlg0OUlKR01SJmVuY3J5cHRlZEFkSWQ9QTA2MDI4ODEzR05HVUNVVlU3NjY5JndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==
14,The Cost of Victory,Crimson Worlds,02,Allan Jay,Read,2018-10-04,Amazon Unlimited,""
15,A Little Rebellion,Crimson Worlds,03,Allan Jay,Read,2018-10-04,Amazon Unlimited,""
16,The First Imperium,Crimson Worlds,04,Allan Jay,Read,2018-10-04,Amazon Unlimited,""
17,The Line Must Hold,Crimson Worlds,05,Allan Jay,Read,2018-10-04,Amazon Unlimited,""
18,To Hell's Heart,Crimson Worlds,06,Allan Jay,Read,2018-10-04,Amazon Unlimited,""
19,The Shadow Legions,Crimson Worlds,07,Allan Jay,Read,2018-10-04,Amazon Unlimited,""
20,Even Legends Die,Crimson Worlds,08,Allan Jay,Read,2018-10-04,Amazon Unlimited,""
21,The Fall,Crimson Worlds,09,Allan Jay,Checked 2021-12-21,2019-06-16,Amazon Unlimited,""
22,Running From Fate,Escape to Earth,01,Andrew Saxon,Read,2015-05-27,Amazon Unlimited,""
23,Fighting for Space,Escape to Earth,02,Andrew Saxon,Read,2015-06-01,Amazon Unlimited,""
24,Defending Holy Ground,Escape to Earth,03,Andrew Saxon,Read,2015-06-01,Amazon Unlimited,""
25,The Legacy of a Conqueror,Escape to Earth,04,Andrew Saxon,Won't Finish,"",Amazon Unlimited,""
26,Foundation,Foundation,01,Asimov Isaac,Read,2021-09-10,Aamzon Purchased,https://smile.amazon.com/Foundation-Isaac-Asimov-ebook/dp/B000FC1PWA/ref=sr_1_1?dchild=1&keywords=foundation+asimov&qid=1631326831&s=digital-text&sr=1-1
27,Black Sheep,Flight of the Javelin,01,Aukes Rachel,Read,2020-08-09,Amazon Unlimited,https://smile.amazon.com/gp/product/B0873CRRFB?notRedirectToSDP=1&ref_=dbs_mng_calw_0&storeType=ebooks
28,Free Station,Flight of the Javelin,02,Aukes Rachel,Read,2020-08-09,Amazon Unlimited,""
29,Rogue Planet,Flight of the Javelin,03,Aukes Rachel,Checked 2021-12-21,2020-08-14,Amazon Unlimited,""
30,Memory Man,Amos Decker Series,01,Baldacci David,Read,2024-02-25,Library,https://www.amazon.com/gp/product/B00N7TDP8K/ref=kinw_myk_ro_title
31,Last Mile,Amos Decker Series,02,Baldacci David,Read,2024-03-29,Library,https://www.amazon.com/gp/product/B00N7TDP8K/ref=kinw_myk_ro_title
32,The Fix,Amos Decker Series,03,Baldacci David,Read,2024-03-30,Library,""
33,The Fallen,Amos Decker Series,04,Baldacci David,Read,2024-03-22,Library,""
34,Redemption,Amos Decker Series,05,Baldacci David,Read,2024-04-01,Library,""
35,Walk the Wire,Amos Decker Series,06,Baldacci David,To Be Read,2024-03-22,None,""
36,Long Shadows,Amos Decker Series,07,Baldacci David,Read,2024-07-09,Library,""
37,The 6:20 Man,The 6:20 Man,01,Baldacci David,Read,2024-07-15,Library,https://www.amazon.com/gp/product/B09L828N58/ref=kinw_myk_ro_title
38,Prequel,Code Breakers,00,Barnes Colin F.,Read,2016-06-17,Amazon Unlimited,https://smile.amazon.com/Code-Breakers-Complete-Books-1-4-ebook/dp/B017Y9MBI8/ref=sr_1_2?crid=264ICFE1NSBZ8&dchild=1&keywords=colin+barnes&qid=1628349524&s=digital-text&sprefix=colin+barnes%2Cdigital-text%2C144&sr=1-2
39,Alpha,Code Breakers,01,Barnes Colin F.,Read,2016-06-04,Amazon Unlimited,""
40,Beta,Code Breakers,02,Barnes Colin F.,Read,2016-06-04,Amazon Unlimited,""
