id,Title,Series,Num,Author,Status,Returned,Source,Url
-3157262790889074980,Columbus Day,Expeditionary Force,01,Alanson Craig,Read,2016-10-01,Amazon Unlimited,https://smile.amazon.com/gp/product/B01AIGC31E?notRedirectToSDP=1&ref_=dbs_mng_calw_0&storeType=ebooks
-2123359571937055171,SpecOps,Expeditionary Force,02,Alanson Craig,Read,2016-10-01,Amazon Unlimited,""
3305299267167767361,Paradise,Expeditionary Force,03,Alanson Craig,Read,2016-11-07,Amazon Unlimited,""
4167542229164964525,Black Ops,Expeditionary Force,04,Alanson Craig,Won't Finish,2021-04-12,Amazon Unlimited,""
-4241447583888796206,Duel in the Dark,Blood on the Stars,01,Allan Jay,Read,2018-01-11,Amazon Unlimited,https://smile.amazon.com/gp/product/B01MCZZTPS?notRedirectToSDP=1&ref_=dbs_mng_calw_0&storeType=ebooks
-5695047055373363656,Call to Arms,Blood on the Stars,02,Allan Jay,Read,2018-03-04,Amazon Unlimited,""
-8847287996308700045,Ruins of Empire,Blood on the Stars,03,Allan Jay,Read,2018-03-04,Amazon Unlimited,""
4693921674248026841,Echoes of Glory,Blood on the Stars,04,Allan Jay,Read,2018-03-04,Amazon Unlimited,""
-867123833388066600,Cauldron of Fire,Blood on the Stars,05,Allan Jay,Read,2018-03-04,Amazon Unlimited,""
2740835780837784976,Dauntless,Blood on the Stars,06,Allan Jay,Read,2018-03-04,Amazon Unlimited,""
6439676646073041647,Black Dawn,Blood on the Stars,08,Allan Jay,Read,2018-09-15,Amazon Unlimited,""
-5721220227840251542,Invasion,Blood on the Stars,09,Allan Jay,Read,2018-09-15,Amazon Unlimited,""
-2597801581395302873,Nightfall,Blood on the Stars,10,Allan Jay,Read,2019-06-05,Amazon Unlimited,""
-3845400770939610141,The Grand Alliance,Blood on the Stars,11,Allan Jay,Read,2019-06-05,Amazon Unlimited,""
1538075822448423389,The Colossus,Blood on the Stars,12,Allan Jay,Read,2019-06-05,Amazon Unlimited,""
2279963457592261904,The Others,Blood on the Stars,13,Allan Jay,Read,2019-06-15,Amazon Unlimited,""
2309045854451398227,The Last Stand,Blood on the Stars,14,Allan Jay,Read,2021-04-17,Amazon Unlimited,""
5291329573681557304,Empire's Ashes,Blood on the Stars,15,Allan Jay,Read,2021-04-17,Amazon Unlimited,""
1892351812357583355,Attack Plan Alpha,Blood on the Stars,16,Allan Jay,Read,2021-04-17,Amazon Unlimited,""
6989376713588860132,Descent into darkness,Blood on the Stars,17,Allan Jay,Read,2021-04-17,Amazon Unlimited,""
-1555997169661243501,Empire Reborn,Blood on the Stars,18,Allan Jay,Final,2022-04-03,"",""
-4508422625276145484,Marines,Crimson Worlds,01,Allan Jay,Read,2018-09-15,Amazon Unlimited,https://smile.amazon.com/Marines-Crimson-Worlds-Jay-Allan-ebook/dp/B00902U0C2/ref=sr_1_1_sspa?dchild=1&keywords=Crimson+Worlds&qid=1628349305&s=digital-text&sr=1-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFKUUtYTjE5OElVOFImZW5jcnlwdGVkSWQ9QTAxNDcyNjIzR0hCWlg0OUlKR01SJmVuY3J5cHRlZEFkSWQ9QTA2MDI4ODEzR05HVUNVVlU3NjY5JndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==
-3788936551888095436,The Cost of Victory,Crimson Worlds,02,Allan Jay,Read,2018-10-04,Amazon Unlimited,""
-7816799935155145304,A Little Rebellion,Crimson Worlds,03,Allan Jay,Read,2018-10-04,Amazon Unlimited,""
-9221892082057572527,The First Imperium,Crimson Worlds,04,Allan Jay,Read,2018-10-04,Amazon Unlimited,""
4123241739563731645,The Line Must Hold,Crimson Worlds,05,Allan Jay,Read,2018-10-04,Amazon Unlimited,""
-3891989700776270283,To Hell's Heart,Crimson Worlds,06,Allan Jay,Read,2018-10-04,Amazon Unlimited,""
-7408479232107006826,The Shadow Legions,Crimson Worlds,07,Allan Jay,Read,2018-10-04,Amazon Unlimited,""
8234391326373171454,Even Legends Die,Crimson Worlds,08,Allan Jay,Read,2018-10-04,Amazon Unlimited,""
5449692573784496517,The Fall,Crimson Worlds,09,Allan Jay,Checked 2021-12-21,2019-06-16,Amazon Unlimited,""
-5052524693891800773,Running From Fate,Escape to Earth,01,Andrew Saxon,Read,2015-05-27,Amazon Unlimited,""
-5540810436399776369,Fighting for Space,Escape to Earth,02,Andrew Saxon,Read,2015-06-01,Amazon Unlimited,""
-3547647649770415554,Defending Holy Ground,Escape to Earth,03,Andrew Saxon,Read,2015-06-01,Amazon Unlimited,""
-5981379603554181122,The Legacy of a Conqueror,Escape to Earth,04,Andrew Saxon,Won't Finish,"",Amazon Unlimited,""
3328950328494455061,Foundation,Foundation,01,Asimov Isaac,Read,2021-09-10,Aamzon Purchased,https://smile.amazon.com/Foundation-Isaac-Asimov-ebook/dp/B000FC1PWA/ref=sr_1_1?dchild=1&keywords=foundation+asimov&qid=1631326831&s=digital-text&sr=1-1
-3425545669579777464,Black Sheep,Flight of the Javelin,01,Aukes Rachel,Read,2020-08-09,Amazon Unlimited,https://smile.amazon.com/gp/product/B0873CRRFB?notRedirectToSDP=1&ref_=dbs_mng_calw_0&storeType=ebooks
-8474959789233610022,Free Station,Flight of the Javelin,02,Aukes Rachel,Read,2020-08-09,Amazon Unlimited,""
1854652781569009181,Rogue Planet,Flight of the Javelin,03,Aukes Rachel,Checked 2021-12-21,2020-08-14,Amazon Unlimited,""
-8792567703669083235,Memory Man,Amos Decker Series,01,Baldacci David,Read,2024-02-25,Library,https://www.amazon.com/gp/product/B00N7TDP8K/ref=kinw_myk_ro_title
-6861512396205869829,Last Mile,Amos Decker Series,02,Baldacci David,Read,2024-03-29,Library,https://www.amazon.com/gp/product/B00N7TDP8K/ref=kinw_myk_ro_title
3005750581969079647,The Fix,Amos Decker Series,03,Baldacci David,Read,2024-03-30,Library,""
-365361050544606264,The Fallen,Amos Decker Series,04,Baldacci David,Read,2024-03-22,Library,""
3286946625213529762,Redemption,Amos Decker Series,05,Baldacci David,Read,2024-04-01,Library,""
1465619938140149893,Walk the Wire,Amos Decker Series,06,Baldacci David,To Be Read,2024-03-22,None,""
4956747807908670631,Long Shadows,Amos Decker Series,07,Baldacci David,Read,2024-07-09,Library,""
6262812281219152116,Prequel,Code Breakers,00,Barnes Colin F.,Read,2016-06-17,Amazon Unlimited,https://smile.amazon.com/Code-Breakers-Complete-Books-1-4-ebook/dp/B017Y9MBI8/ref=sr_1_2?crid=264ICFE1NSBZ8&dchild=1&keywords=colin+barnes&qid=1628349524&s=digital-text&sprefix=colin+barnes%2Cdigital-text%2C144&sr=1-2
2060592255726081660,Alpha,Code Breakers,01,Barnes Colin F.,Read,2016-06-04,Amazon Unlimited,""
4769631843256701071,Beta,Code Breakers,02,Barnes Colin F.,Read,2016-06-04,Amazon Unlimited,""
-8775997024051696093,Gamma,Code Breakers,03,Barnes Colin F.,Read,2016-06-04,Amazon Unlimited,""
3531698368518889227,Delta,Code Breakers,04,Barnes Colin F.,Final,2016-06-04,Amazon Unlimited,""
-2369101317325375237,Dead Silence,"",00,Barnes S A,Read,2023-04-11,Amazon Unlimited,https://www.amazon.com/gp/product/B0951SCZRK/ref=ku_mi_rw_edp_ku
7413549653431153978,Trapped,Fleet Ops,01,Bartlett Scott,To Be Read,"",Amazon Unlimited,https://smile.amazon.com/gp/product/B0993XPCYP?notRedirectToSDP=1&ref_=dbs_mng_calw_0&storeType=ebooks
3267241790207782026,Counterstrick,Fleet Ops,02,Bartlett Scott,To Be Read,"",Amazon Unlimited,""
-3503222771038444705,Relentless,Fleet Ops,03,Bartlett Scott,To Be Read,"",Amazon Unlimited,""
5707111677953777939,The Forever Ship,Starship Omega,01,"Bartlett Scott, James Joshua",Read,2024-05-23,Amazon Unlimited,https://www.amazon.com/gp/product/B0D29LZGST/ref=ku_mi_rw_edp_ku
-4160199408379999500,Rewinder,Rewinder,01,Battles Brett,Read,2016-02-07,Amazon Unlimited,https://smile.amazon.com/gp/product/B00RYTGOK0?notRedirectToSDP=1&ref_=dbs_mng_calw_0&storeType=ebooks
-8930364667355314460,Destroyer,Rewinder,02,Battles Brett,Read,2019-06-18,Amazon Unlimited,""
3148640995227228524,Survivor,Rewinder,03,Battles Brett,Final,2019-06-18,Amazon Unlimited,""
4666800740026304898,Bitcoin Hurricane,The SimCavalier,01,Baucherel Kate,Read,2023-04-12,Amazon Unlimited,https://www.amazon.com/gp/product/B08MBB8BZC?notRedirectToSDP=1&ref_=dbs_mng_calw_0&storeType=ebooks
6957993095624472147,Hacked Future,The SimCavalier,02,Baucherel Kate,Read,2023-04-15,Amazon Unlimited,""
-2915735717825415009,Tangled Fortunes,The SimCavalier,03,Baucherel Kate,Read,2023-04-18,Amazon Unlimited,""
8840851678857783873,Critical Nexus,The SimCavalier,04,Baucherel Kate,Read,2023-04-20,Amazon Unlimited,""
-3262794886524031714,Ancestral Night,White Space,01,Bear Elizabeth,Read,2022-03-26,Library,https://smile.amazon.com/gp/product/B07GNRVY7J?notRedirectToSDP=1&ref_=dbs_mng_calw_0&storeType=ebooks
-2359901863054526497,Machine,White Space,02,Bear Elizabeth,Final,2022-07-23,Library,""
-8136758986572953209,The Intrepid: Dawn Of The Interstellar Age,"","",Benn Arnie,Read,2024-04-13,Amazon Unlimited,https://www.amazon.com/gp/product/B0CDPZZJNP/ref=ku_mi_rw_edp_ku
3002603361308526664,"Intergalactic Exterminators, Inc","",00,Bishop Ash,Won't Finish,2023-01-05,Library,""
